href,title,date
https://ccds.fzu.edu.cn/info/1161/10905.htm,计算机学院举办2025年教工全民健身运动暨迎新春游园会活动,2025-01-13
https://ccds.fzu.edu.cn/info/1161/10888.htm,计算机学院学生社区30号楼楼宇指导员走进学生社区,2024-12-31
https://ccds.fzu.edu.cn/info/1161/10878.htm,计算机学院党委副书记曹乐平为昆冈众创学生党支部师生讲授党课（思政课）,2024-12-09
https://ccds.fzu.edu.cn/info/1161/10812.htm,我院顺利举行2024年“网络密影：新生网络安全探秘大赛”,2024-12-04
https://ccds.fzu.edu.cn/info/1161/10807.htm,福州大学ACM代表队获第49届ICPC亚洲区域赛金奖,2024-12-03
https://ccds.fzu.edu.cn/info/1161/10761.htm,我院顺利开展学生党支部书记实务培训,2024-11-01
https://ccds.fzu.edu.cn/info/1161/10753.htm,计算机学院政工干部、学生骨干深入学习习近平总书记在福建考察时的重要讲话精神,2024-10-25
https://ccds.fzu.edu.cn/info/1161/10751.htm,计算机学院隆重举行2024级新生开学典礼暨军训表彰大会,2024-10-22
https://ccds.fzu.edu.cn/info/1161/10750.htm,喜讯！院2025届本科毕业生保研升学再创佳绩！,2024-10-22
https://ccds.fzu.edu.cn/info/1161/10748.htm,我校参赛首金！计算机学子斩获中国国际大学生创新大赛（2024）总决赛金奖！,2024-10-22
https://ccds.fzu.edu.cn/info/1161/10749.htm,喜讯！我院在“马克思主义能够给予我们什么”主题征文比赛中喜获佳绩！,2024-10-21
https://ccds.fzu.edu.cn/info/1161/10733.htm,计算机与大数据学院（软件学院）第四次学生代表大会顺利召开,2024-10-10
https://ccds.fzu.edu.cn/info/1161/10680.htm,喜讯|我院2024级研究生论文被人工智能领域国际顶级期刊录用,2024-09-25
https://ccds.fzu.edu.cn/info/1161/10679.htm,我院举行网络安全专题讲座,2024-09-25
https://ccds.fzu.edu.cn/info/1161/10633.htm,我院代表队荣获中国高校计算机大赛第九届网络技术挑战赛一等奖,2024-09-11
https://ccds.fzu.edu.cn/info/1161/10617.htm,@24萌新 | 终于等到你，欢迎来到福州大学！,2024-09-01
https://ccds.fzu.edu.cn/info/1161/10618.htm,@24级研究生萌新|众流归海，我们在计算机学院等你！,2024-08-30
https://ccds.fzu.edu.cn/info/1161/10600.htm,我院学子在中国大学生服务外包创新创业大赛中获得一等奖,2024-08-12
https://ccds.fzu.edu.cn/info/1161/10593.htm,计算机与大数据学院党委书记李文涛带队赴厦门开展访企拓岗促就业活动,2024-07-10
https://ccds.fzu.edu.cn/info/1161/10592.htm,计算机与大数据学院党委书记李文涛一行走访看望厦门校友,2024-07-10
https://ccds.fzu.edu.cn/info/1161/10587.htm,校党委陈国龙书记看望慰问学生暑期“三下乡”社会实践队 深入基层开展党纪学习教育,2024-07-09
https://ccds.fzu.edu.cn/info/1161/10575.htm,迎七一，强党性，铭初心|我院举行庆祝中国共产党成立103周年暨新发展党员入党宣誓仪式,2024-07-02
https://ccds.fzu.edu.cn/info/1161/10563.htm,喜报 | 计算机学院学子在2023级本科生高等数学课程竞赛中获奖数全校第一！,2024-06-28
https://ccds.fzu.edu.cn/info/1161/10562.htm,“一站式”学生社区 | 计算机学院举行2024届毕业生代表座谈会,2024-06-28
