href,title,date
https://sfl.fzu.edu.cn/info/1039/2009.htm,以日语之声 展中华魅力——外国语学院第十一届“中日文化交流展”顺利举行,2020.12.20
https://sfl.fzu.edu.cn/info/1039/2004.htm,沿前之路 “研”后之途——福州大学外国语学院保研经验交流会顺利举办,2020.11.27
https://sfl.fzu.edu.cn/info/1039/2001.htm,外国语学院顺利开展学习全国学联二十七大精神活动,2020.10.22
https://sfl.fzu.edu.cn/info/1039/1988.htm,“学习金句，展报国志——外国语学院习近平总书记系列重要讲话”双语知识...,2020.10.03
https://sfl.fzu.edu.cn/info/1039/1984.htm,外国语学院团委学生会2020年纳新宣讲会成功举办,2020.09.25
https://sfl.fzu.edu.cn/info/1039/1976.htm,我院分党校第20期暨建筑城规院分党校第21期入党积极分子培训班第三次联合...,2020.05.09
https://sfl.fzu.edu.cn/info/1039/2115.htm,院党委林秋生书记为第20期学院分党校积极分子培训班上党课,2020.05.05
https://sfl.fzu.edu.cn/info/1039/1972.htm,我院第20期分党校与建筑城规院第21期分党校第二次联合党课顺利进行,2020.05.05
https://sfl.fzu.edu.cn/info/1039/2114.htm,我院召开2020届考研上线学生复试指导咨询会,2020.05.02
https://sfl.fzu.edu.cn/info/1039/2112.htm,我院研究生会成功举办“致知沙龙”第九期学术活动,2019.12.20
https://sfl.fzu.edu.cn/info/1039/2111.htm,我院研究生会成功举办“致知沙龙”第八期学术活动,2019.12.13
https://sfl.fzu.edu.cn/info/1039/2109.htm,金融知识校园行 ——我院顺利举办招商银行湖东支行金融知识进校园讲座,2019.12.12
https://sfl.fzu.edu.cn/info/1039/2104.htm,外国语学院第三届心理健康知识竞赛成功举办,2019.12.02
https://sfl.fzu.edu.cn/info/1039/2103.htm,外国语学院“华为杯”首届德汉笔译大赛顺利举办,2019.11.30
https://sfl.fzu.edu.cn/info/1039/2102.htm,我院研究生会成功举办第七期“致知沙龙”学术交流活动,2019.11.28
https://sfl.fzu.edu.cn/info/1039/2097.htm,不忘奉献初心，扬起急救之帆 ——外国语学院红十字会急救知识小课堂顺利开展,2019.11.23
https://sfl.fzu.edu.cn/info/1039/2101.htm,筑梦当下，“研”续未来 ——第81期博学论坛顺利举办,2019.11.23
https://sfl.fzu.edu.cn/info/1039/2095.htm,我院成功举办英语演讲比赛选拔赛,2019.11.22
https://sfl.fzu.edu.cn/info/1039/2091.htm,外国语学院 2019-2020 学年家庭经济困难学生资格认定结果公示,2019.11.19
https://sfl.fzu.edu.cn/info/1039/2093.htm,我院研究生会成功举办第六期“致知沙龙”学术活动,2019.11.19
https://sfl.fzu.edu.cn/info/1039/2089.htm,“铭记初心，奉献社会，让爱不再孤单” ——外国语学院红十字会五福缘敬老...,2019.11.17
https://sfl.fzu.edu.cn/info/1039/2088.htm,我院“不忘初心，牢记使命”中英成语接龙竞赛成功举办,2019.11.15
https://sfl.fzu.edu.cn/info/1039/2086.htm,秋风习习暖人心 ——我院送温暖活动顺利举行,2019.10.30
https://sfl.fzu.edu.cn/info/1039/2076.htm,我院红十字会五福缘敬老院志愿活动顺利开展,2019.10.27
https://sfl.fzu.edu.cn/info/1039/2075.htm,我院成功举办“对话未来”系列讲座第九期 ——《从维和卫士到村第一书记》,2019.10.19
https://sfl.fzu.edu.cn/info/1039/2074.htm,我院学生党支部与福建民俗博物馆党支部交流座谈会成功举办,2019.10.18
https://sfl.fzu.edu.cn/info/1039/2073.htm,我院开展“不忘初心，牢记使命”主题教育学生党支部书记培训会,2019.10.14
https://sfl.fzu.edu.cn/info/1039/2146.htm,我院学生党支部书记培训暨院内党建检查动员大会成功举行,2019.10.14
https://sfl.fzu.edu.cn/info/1039/2145.htm,我院暑期社会实践汇报会顺利开展,2019.10.09
https://sfl.fzu.edu.cn/info/1039/2144.htm,唱红歌，献礼祖国七十华诞 ——外国语学院庆中华人民共和国成立70周年唱红...,2019.10.06
https://sfl.fzu.edu.cn/info/1039/2143.htm,访红地，忆祖国奋斗史 ——外国语学院组织参观福建省革命历史纪念馆,2019.10.05
https://sfl.fzu.edu.cn/info/1039/2142.htm,绘红画，手绘祖国辉煌精彩 ——外国语学院征文暨手抄报比赛顺利开展,2019.10.04
https://sfl.fzu.edu.cn/info/1039/2141.htm,看红片，弘扬爱国主义精神 ——福州大学外国语学院团委组织观看影片《我和...,2019.10.03
https://sfl.fzu.edu.cn/info/1039/2139.htm,阅读红色经典，弘扬爱国精神 ——外国语学院红色经典交流分享会活动顺利开展,2019.10.02
https://sfl.fzu.edu.cn/info/1039/2137.htm,第十八届外研社杯英语演讲校决赛成功举办,2019.09.28
https://sfl.fzu.edu.cn/info/1039/2136.htm,我院举办欢送陈慧敏同学光荣入伍座谈会,2019.09.24
https://sfl.fzu.edu.cn/info/1039/2135.htm,我院召开学生党支部书记会议,2019.09.24
https://sfl.fzu.edu.cn/info/1039/2134.htm,外国语学院2019级新生心理普查成功开展,2019.09.23
https://sfl.fzu.edu.cn/info/1039/2133.htm,参观纪念雕像，展望美好未来 ——外国语学院特别主题团日活动顺利开展,2019.09.20
https://sfl.fzu.edu.cn/info/1039/2132.htm,我院党委王三强副书记为2017级学生党支部学生党员上微党课,2019.09.18
https://sfl.fzu.edu.cn/info/1039/2131.htm,青春暖夕阳，我院五福缘敬老院志愿活动顺利开展,2019.09.17
https://sfl.fzu.edu.cn/info/1039/2129.htm,国歌汲中国力量，听演讲弘爱国精神 ——外国语学院特别主题团日活动顺利开展,2019.09.16
https://sfl.fzu.edu.cn/info/1039/2128.htm,我院2019级新生逃生疏散演练顺利开展,2019.09.12
https://sfl.fzu.edu.cn/info/1039/2125.htm,我院组织观看“我与祖国共奋进”特别主题团日活动直播,2019.09.11
https://sfl.fzu.edu.cn/info/1039/2118.htm,2019级外国语学院团委学生会纳新宣讲会成功举办,2019.09.08
https://sfl.fzu.edu.cn/info/1039/2120.htm,我院成功举办2019级新生大学适应教育讲座,2019.09.08
https://sfl.fzu.edu.cn/info/1039/2123.htm,掌握生涯规划，释放生命之光 ——外国语学院开展生涯教育讲座,2019.09.08
https://sfl.fzu.edu.cn/info/1039/2200.htm,我院成功举办2019级新生入党启蒙教育主题讲座,2019.09.07
https://sfl.fzu.edu.cn/info/1039/2198.htm,外国语学院2019级新生大学生精神教育讲座顺利开展,2019.09.07
https://sfl.fzu.edu.cn/info/1039/2186.htm,我院成功举办2019级新生校纪校规学习讲座,2019.09.06
https://sfl.fzu.edu.cn/info/1039/2197.htm,我院成功举办2019级新生学籍及选课教育讲座,2019.09.06
https://sfl.fzu.edu.cn/info/1039/2184.htm,暑期送温暖第一篇丨家校关怀万里行,2019.07.13
https://sfl.fzu.edu.cn/info/1039/2183.htm,我院学子走进贫困家庭，助力资助政策乡村行,2019.07.10
https://sfl.fzu.edu.cn/info/1039/2174.htm,我院“生命守门员”专题培训活动成功举办,2019.06.23
https://sfl.fzu.edu.cn/info/1039/2170.htm,我院成功举办日语演讲比赛,2019.06.15
https://sfl.fzu.edu.cn/info/1039/2169.htm,我院与物信学院联队在校艺术节舞蹈大赛上摘得桂冠,2019.06.07
https://sfl.fzu.edu.cn/info/1039/2167.htm,外国语学院退休党员与2019届毕业生党员座谈会顺利展开,2019.06.07
https://sfl.fzu.edu.cn/info/1039/2166.htm,我院红十字会趣味手工英语教学活动顺利展开,2019.06.02
https://sfl.fzu.edu.cn/info/1039/2165.htm,我院“对话未来”讲坛第九期——CATTI考试与翻译学习经验交流座谈会成功举...,2019.05.31
https://sfl.fzu.edu.cn/info/1039/2164.htm,我院成功举办首届德语辩论大赛,2019.05.31
https://sfl.fzu.edu.cn/info/1039/2156.htm,我院成功开展“马克思主义能够给予我们什么暨学习新思想拥抱新时代”微演...,2019.05.25
https://sfl.fzu.edu.cn/info/1039/2155.htm,讲好中国故事，让世界聆听中国声音—我院2017级英语三班团立项活动暨主题...,2019.05.20
https://sfl.fzu.edu.cn/info/1039/2154.htm,我院成功举办首届日语作文大赛,2019.05.18
https://sfl.fzu.edu.cn/info/1039/2151.htm,我院第二届习近平新时代中国特色社会思想知识竞赛总决赛成功落幕,2019.05.17
https://sfl.fzu.edu.cn/info/1039/2150.htm,我院成功举办“不忘初心，牢记使命”微团课展示大赛,2019.05.16
https://sfl.fzu.edu.cn/info/1039/2149.htm,我院研究生会成功举办“致知沙龙”第五期学术活动,2019.05.10
https://sfl.fzu.edu.cn/info/1039/2148.htm,我院“九二萤火”奖学金座谈会成功举办,2019.05.05
https://sfl.fzu.edu.cn/info/1039/2231.htm,我院成功举办2020届升学及就业辅导会,2019.05.01
https://sfl.fzu.edu.cn/info/1039/2226.htm,我院学子于第三十二届学生文化艺术节配音大赛中初露锋芒,2019.04.30
https://sfl.fzu.edu.cn/info/1039/2227.htm,外国语学院组织收看纪念五四运动100周年实况直播,2019.04.30
https://sfl.fzu.edu.cn/info/1039/2228.htm,我院成功举办第二届习近平新时代中国特色社会主义思想知识竞赛,2019.04.30
https://sfl.fzu.edu.cn/info/1039/2224.htm,我院校篮球联赛男篮小组赛落下帷幕,2019.04.29
https://sfl.fzu.edu.cn/info/1039/2223.htm,我院17级英语2班开展青春心向党团立项活动,2019.04.28
https://sfl.fzu.edu.cn/info/1039/2222.htm,我院成功举办研究生“致知沙龙”第四期学术活动,2019.04.26
https://sfl.fzu.edu.cn/info/1039/2218.htm,我院德语系首届演讲大赛圆满落幕,2019.04.25
https://sfl.fzu.edu.cn/info/1039/2215.htm,亲子手工齐参与，爱国主义共弘扬——我院顺利举行金麟社区志愿服务活动,2019.04.23
https://sfl.fzu.edu.cn/info/1039/2213.htm,校纪律检查委员会林元新老师为我院第19期分党校积极分子培训班上党课,2019.04.23
https://sfl.fzu.edu.cn/info/1039/2212.htm,我院成功开展林则徐纪念馆主题参观活动,2019.04.23
https://sfl.fzu.edu.cn/info/1039/2214.htm,我院成功举办“饺子DIY”大赛,2019.04.23
https://sfl.fzu.edu.cn/info/1039/2211.htm,校篮球联赛外国语学院女篮小组赛落下帷幕,2019.04.22
https://sfl.fzu.edu.cn/info/1039/2209.htm,我院对战石油化工学院校级篮球联赛小组赛顺利进行,2019.04.21
https://sfl.fzu.edu.cn/info/1039/2208.htm,2019福州大学篮球联赛之我院对战法学院火热开赛,2019.04.14
https://sfl.fzu.edu.cn/info/1039/2207.htm,和谐清明，平安清明，外院学子在行动！,2019.04.13
https://sfl.fzu.edu.cn/info/1039/2206.htm,秉志愿精神，扬爱国文化——我院支教助学活动顺利开展,2019.04.13
https://sfl.fzu.edu.cn/info/1039/2204.htm,我院第19期分党校与建筑学院第20期分党校第二次联合党课顺利举行,2019.04.12
https://sfl.fzu.edu.cn/info/1039/2203.htm,我院第19期分党校与建筑学院第20期分党校成功开班,2019.04.11
https://sfl.fzu.edu.cn/info/1039/2265.htm,我院男生节系列活动顺利开展,2019.04.11
https://sfl.fzu.edu.cn/info/1039/2260.htm,“回顾国学经典，弘扬传统文化”——我院成功举办手抄报比赛活动,2019.04.03
https://sfl.fzu.edu.cn/info/1039/2261.htm,我院成功举办第六届急救知识与技能大赛,2019.04.03
https://sfl.fzu.edu.cn/info/1039/2257.htm,我院第六届班级心理情景剧大赛顺利举行,2019.03.31
https://sfl.fzu.edu.cn/info/1039/2258.htm,我院第三期“致知沙龙”学术活动顺利举办,2019.03.31
https://sfl.fzu.edu.cn/info/1039/2255.htm,我院顺利开展“纪念五四运动100周年”主题微团课暨团支书培训,2019.03.21
https://sfl.fzu.edu.cn/info/1039/2254.htm,诵读国学经典，传承文化基因——我院成功举办国学经典诵读比赛,2019.03.19
https://sfl.fzu.edu.cn/info/1039/2252.htm,我院顺利举办CATTI口笔译备考讲座,2019.03.17
https://sfl.fzu.edu.cn/info/1039/2251.htm,我院成功举办研究生“致知沙龙”第二期学术交流活动,2019.03.13
https://sfl.fzu.edu.cn/info/1039/2250.htm,我院校友足球联谊赛顺利展开,2019.03.11
https://sfl.fzu.edu.cn/info/1039/2248.htm,“植传统文化之根，塑红色精神之魂”阅读国学经典活动顺利开展,2019.03.10
https://sfl.fzu.edu.cn/info/1039/2247.htm,我院学生干部培训第一讲校园新闻培训顺利开展,2019.03.10
https://sfl.fzu.edu.cn/info/1039/2246.htm,福州大学2019年第二十二届“外研社杯”全国大学生英语辩论赛决赛成功举办,2019.03.07
https://sfl.fzu.edu.cn/info/1039/2243.htm,我院成功举办互联网+创新创业大赛辅导会,2019.03.06
https://sfl.fzu.edu.cn/info/1039/2240.htm,我院团委学生会干部工作交流会顺利进行,2019.03.06
https://sfl.fzu.edu.cn/info/1039/2236.htm,践行雷锋时代精神——我院青年志愿者协会顺利开展雷锋月系列活动,2019.03.04
https://sfl.fzu.edu.cn/info/1039/2238.htm,福州大学第二届八院联合互联网+创新创业大赛辅导会成功举行,2019.03.04
https://sfl.fzu.edu.cn/info/1039/2235.htm,我院红十字会成功开展旧衣物回收活动,2019.03.03
https://sfl.fzu.edu.cn/info/1039/2234.htm,我院成功举办第22届“外研社杯”英语辩论赛福州大学选拔赛初赛,2019.03.03
https://sfl.fzu.edu.cn/info/1039/2299.htm,福州大学第二届八院联合互联网+创新创业大赛推进会成功召开,2019.03.01
https://sfl.fzu.edu.cn/info/1039/2298.htm,开学第一天校院领导走进课堂深入交流,2019.02.26
https://sfl.fzu.edu.cn/info/1039/2297.htm,我院红十字会成功举行“欢度元旦佳节，手写祝福心愿”金麟社区志愿服务活动,2018.12.24
https://sfl.fzu.edu.cn/info/1039/2295.htm,声临其境——我院英语口语协会第三届英语配音大赛成功举办,2018.12.23
https://sfl.fzu.edu.cn/info/1039/2296.htm,我院红十字会活动顺利举行旧衣物回收活动,2018.12.23
https://sfl.fzu.edu.cn/info/1039/2294.htm,我院顺利举办对话未来——外院学子生涯发展主题讲座第六期,2018.12.22
https://sfl.fzu.edu.cn/info/1039/2293.htm,我院2019届考研诚信教育暨冲刺动员会顺利展开,2018.12.18
https://sfl.fzu.edu.cn/info/1039/2290.htm,“12.9”环校跑温暖寒冬，我院学子绽放激情,2018.12.08
https://sfl.fzu.edu.cn/info/1039/2288.htm,我院红十字会成功开展“弘扬优秀传统文化，助力亲子手工活动”金麟社区志...,2018.12.07
https://sfl.fzu.edu.cn/info/1039/2287.htm,志愿看未来，关爱下一代 ——我院志愿者参加鼓楼区国际志愿者日活动,2018.12.02
https://sfl.fzu.edu.cn/info/1039/2286.htm,走出校门，志愿中国——我院志愿者博博会上一展风采,2018.11.26
https://sfl.fzu.edu.cn/info/1039/2281.htm,我院对战石油化工学院新生篮球联赛顺利进行,2018.11.25
https://sfl.fzu.edu.cn/info/1039/2282.htm,防患未然、把握安全——我院安全知识竞赛成功举办,2018.11.25
https://sfl.fzu.edu.cn/info/1039/2279.htm,我院学生参与福建警察学院翻译实践,2018.11.23
https://sfl.fzu.edu.cn/info/1039/2276.htm,我院党委书记陈伟民为学生党员、入党积极分子上党课,2018.11.23
https://sfl.fzu.edu.cn/info/1039/2272.htm,我院“福州大学图书馆资源查与用”讲座顺利举办,2018.11.22
https://sfl.fzu.edu.cn/info/1039/2274.htm,对话未来—外院学子生涯主题系列活动第六期成功举办,2018.11.22
https://sfl.fzu.edu.cn/info/1039/2271.htm,新生篮球赛之我院对战紫金矿业学院,2018.11.20
https://sfl.fzu.edu.cn/info/1039/2270.htm,九年沉淀展文化交融，我院今显锋芒,2018.11.18
https://sfl.fzu.edu.cn/info/1039/2332.htm,我院师生在福州大学第47届田径运动会中大展风采,2018.11.13
https://sfl.fzu.edu.cn/info/1039/2327.htm,我院对战人文学院新生篮球联赛顺利进行,2018.11.12
https://sfl.fzu.edu.cn/info/1039/2325.htm,我院德国印象协会假面舞会顺利举办,2018.11.11
https://sfl.fzu.edu.cn/info/1039/2324.htm,我院成功举办福州大学第47届田径运动会外国语学院动员大会,2018.11.03
https://sfl.fzu.edu.cn/info/1039/2323.htm,不忘初心，牢记使命——我院成功举办第四期青年大学习活动,2018.10.31
https://sfl.fzu.edu.cn/info/1039/2322.htm,"我院成功举办""中国梦，我的梦""——社会主义有点潮视频观看活动",2018.10.31
https://sfl.fzu.edu.cn/info/1039/2321.htm,喜讯——我院在2018级新生军训中获得多项表彰,2018.10.29
https://sfl.fzu.edu.cn/info/1039/2320.htm,外国语学院40周年院庆系列活动——我院人才培养质量座谈会顺利举办,2018.10.29
https://sfl.fzu.edu.cn/info/1039/2318.htm,我院校庆集体婚礼志愿活动顺利开展,2018.10.21
https://sfl.fzu.edu.cn/info/1039/2317.htm,外国语学院“青年大学习”系列讲座圆满开展,2018.10.19
https://sfl.fzu.edu.cn/info/1039/2315.htm,外国语学院红十字会成功举行五福缘敬老院志愿活动,2018.10.14
https://sfl.fzu.edu.cn/info/1039/2314.htm,福州大学外国语学院青协支教纳新活动圆满成功,2018.10.14
https://sfl.fzu.edu.cn/info/1039/2312.htm,福州大学第十七届英语演讲赛暨2018年“外研社·国才杯”全国英语演讲大赛福...,2018.10.08
https://sfl.fzu.edu.cn/info/1039/2308.htm,外国语学院“衣旧情深，爱在路上”旧衣物回收活动成功举行,2018.10.08
https://sfl.fzu.edu.cn/info/1039/2306.htm,福州大学第十七届英语演讲赛暨2018年“外研社·国才杯”全国英语演讲大赛外...,2018.09.30
https://sfl.fzu.edu.cn/info/1039/2300.htm,我院成功举办2018级新生入党启蒙教育主题讲座,2018.09.22
https://sfl.fzu.edu.cn/info/1039/2360.htm,我院成功举办2018级新生社会主义核心价值观教育主题讲座,2018.09.22
https://sfl.fzu.edu.cn/info/1039/2301.htm,外国语学院2018级新生校级校规学习主题讲座成功举办,2018.09.22
https://sfl.fzu.edu.cn/info/1039/2302.htm,外国语学院2018级新生心理健康教育主题讲座成功举办,2018.09.22
https://sfl.fzu.edu.cn/info/1039/2359.htm,外国语学院2019届考研就业动员大会暨企业面对面宣传会成功举办,2018.09.21
https://sfl.fzu.edu.cn/info/1039/2354.htm,外国语学院暑期“三下乡”社会实践风采展顺利举行,2018.09.21
https://sfl.fzu.edu.cn/info/1039/2355.htm,我院成功举行“生命守门员”心理培训活动,2018.09.21
https://sfl.fzu.edu.cn/info/1039/2356.htm,我院成功召开新疆内派教师与新疆籍学生见面会,2018.09.21
https://sfl.fzu.edu.cn/info/1039/2353.htm,我院成功举办“信青春、守未来——金融知识进校园”主题讲座,2018.09.19
